98ACCLx,5spd manual,175,,,,
98ACINT,No air cond,175,Manual (not R),175,,
98ACNSX,,,,,,
98ACRLx,,,,,,
98ACTLx,,,,,,
98AUA4x,Manual trans,175,Vinyl Seats,150,,
98AUA6x,Manual trans,175,Vinyl Seats,175,,
98AUCAB,Manual Roof,225,Cloth seats,200,,
98BM3-S,Man trans (not Cnv),175,Wheel covers,175,,
98BM5-S,Manual trans,175,Vinyl seats (528),175,No CD,175
98BM7-S,No CD player,50,,,,
98BMM3x,,,,,,
98BMZ3x,,,,,,
98BUCEN,No cruise,50,,,,
98BULES,,,,,,
98BUPAR,,,,,,
98BURIV,,,,
98BUROA,,,,
98BUSKY,,,,
98CACAT,,,,
98CADEV,,,,
98CAELD,,,,
98CASEV,,,,
98CHC15,6cyl (not Work Truck),150,,
98CHC25,,,,
98CHCAM,Manual trans,175,,
98CHCAV,No air cond,175,Manual trans,175
98CHCVT,,,,
98CHEXP,,,,
98CHG15,6cyl,150,,
98CHG25,,,,
98CHLUM,,,,
98CHMAL,2.4L (4cyl-150hp),100,,,,
98CHMET,Man trans (not Base),175,No air cond,175,,
98CHPRI,No air cond,175,Manual Trans,175,,
98CHS10,4cyl,100,,,,
98CHSTB,,,,,,
98CHSUB,,,,,,
98CHTAH,,,,,,
98CHTRA,,,,,,
98CHVEN,Psngr slider only,75,,,,
98CYCIR,2.4L (4cyl-150hp),100,,,,
98CYCON,No ABS brakes,50,,,,
98CYLEB,2.5 Liter 4cyl,75,No air cond,75,Manual trans,75
98CYNEW,,,,,,
98CYSEB,2.0L(4cyl-140hp),175,2.4L(4cyl-150hp),175,Manual trans,175
98CYTOW,,,,,,
98DOAVE,2.0L-I4 (140hp),175,Manual trans,150,No air cond,150
98DOB15,3.9L (6cyl-175hp),150,,,,
98DOB25,3.9L (6cyl-175hp),150,,,,
98DOBR1,3.9L (6cyl-175hp),150,,,,
98DOBRS,,,,,,
98DOBVA,,,,,,
98DOCAR,2.4L (4cyl-150hp),100,Psgr slider only,75,,
98DODAK,2.5L (4cyl-120hp),100,,,,
98DODUR,3.9L (6cyl-175hp),175,,,,
98DOGRA,,,,,,
98DOINT,,,,,,
98DONEO,No air cond,175,Manual trans,175,,
98DOR50,,,,,,
98DORAM,3.9L (6cyl-175hp),150,,,,
98DOSTR,Manual trans,175,,,,
98DOVIP,No air cond,,,,,
98EATAL,No air cond,175,,,Manual trans,175
98EAVIS,,,,,,
98FOAER,,,,,,
98FOCLU,,,,,,
98FOCON,Manual trans (not SVT),175,No air cond,175,,
98FOCRO,,,,,,
98FOECO,6cyl,150,,,,
98FOESC,No air cond,175,Manual trans,175,Manual steering,175
98FOEXP,,,,,,
98FOEXT,,,,,,
98FOF15,6cyl (not S),150,,,,
98FOF25,,,,,,
98FOMUS,No air cond,175,Man trans (6cyl only),175,,
98FOPRO,No air cond,175,Man trans (not GT),175,,
98FORAN,4cyl,100,,,,
98FOTAU,,,,,,
98FOTHU,,,,,,
98GMC15,6cyl (not Special),150,,,,
98GMC25,,,,,,
98GMG15,6cyl,150,,,,
98GMG25,6cyl,150,,,,
98GMJIM,,,,,,
98GMSAF,,,,,,
98GMSAV,,,,,,
98GMSON,4cyl,100,,,,
98GMSUB,,,,,,
98GMYUK,,,,,,
98HOACC,No air cond,175,Manual trans,175,,
98HOCIV,No air cond,175,Man trans (not HX),175,,
98HOCRV,,,,,,
98HOPAS,,,,,,
98HOPRE,Manual trans (Base),175,,,,
98HYACC,No air cond,175,,,Manual trans (not L),175
98HYELA,No air cond,175,Manual trans,175
98HYSON,Manual trans,175,,
98HYTIB,Manual trans,175,No Air Cond,175
98INI30,Manual trans,175,,
98INJ30,,,,
